iter	Passed	Remaining
329	75290	152862
330	75536	152670
331	75762	152438
332	76007	152244
333	76254	152051
334	76528	151915
335	76798	151769
336	77043	151573
337	77291	151381
338	77559	151229
339	77803	151029
340	78072	150878
341	78351	150746
342	78612	150578
343	78864	150392
344	79086	150150
345	79334	149956
346	79581	149759
347	79804	149518
348	80034	149291
349	80247	149031
350	80508	148859
351	80741	148637
352	80992	148448
353	81251	148271
354	81482	148045
355	81822	148015
356	82064	147807
357	82308	147602
358	82510	147322
359	82718	147055
360	82952	146833
361	83160	146564
362	83374	146306
363	83593	146058
364	83798	145785
365	84012	145529
366	84234	145286
367	84452	145038
368	84685	144814
369	84903	144565
370	85129	144329
371	85348	144082
372	85571	143842
373	85777	143574
374	86050	143416
375	86376	143348
376	86661	143209
377	86911	143013
378	87153	142803
379	87463	142702
380	87740	142548
381	87988	142347
382	88365	142354
383	88709	142304
384	89002	142172
385	89343	142115
386	89631	141974
387	89854	141729
388	90101	141522
389	90396	141389
390	90723	141305
391	90959	141080
392	91242	140926
393	91679	141009
394	91983	140886
395	92254	140711
396	92475	140460
397	92730	140261
398	92962	140026
399	93296	139944
400	93572	139774
401	93875	139646
402	94346	139763
403	94658	139644
404	94935	139472
405	95285	139408
406	95561	139233
407	95851	139078
408	96152	138939
409	96457	138804
410	96748	138648
411	97014	138457
412	97248	138220
413	97510	138021
414	97826	137900
415	98113	137736
416	98367	137525
417	98623	137318
418	98866	137091
419	99074	136816
420	99295	136560
421	99509	136295
422	99742	136055
423	99958	135792
424	100195	135558
425	100423	135312
426	100626	135032
427	100846	134776
428	101052	134501
429	101275	134249
430	101471	133960
431	101668	133675
432	101877	133405
433	102100	133154
434	102315	132893
435	102543	132648
436	102769	132400
437	103004	132166
438	103215	131899
439	103434	131643
440	103658	131395
441	103889	131155
442	104109	130900
443	104318	130633
444	104541	130383
445	104786	130160
446	105006	129907
447	105218	129644
448	105435	129387
449	105652	129130
450	105870	128875
451	106080	128611
452	106306	128366
453	106524	128110
454	106754	127870
455	106940	127578
456	107167	127334
457	107431	127135
458	107708	126951
459	107994	126776
460	108274	126593
461	108529	126383
462	108781	126167
463	109055	125978
464	109264	125712
465	109501	125480
466	109703	125207
467	109914	124945
468	110162	124725
469	110361	124450
470	110565	124181
471	110809	123956
472	111042	123720
473	111262	123468
474	111497	123234
475	111714	122979
476	111931	122725
477	112144	122467
478	112357	122209
479	112581	121963
480	112820	121733
481	113052	121496
482	113268	121242
483	113481	120984
484	113686	120719
485	113930	120494
486	114158	120253
487	114379	120005
488	114601	119757
489	114842	119530
490	115049	119267
491	115299	119048
492	115505	118785
493	115740	118551
494	115970	118313
495	116185	118059
496	116400	117805
497	116645	117582
498	116874	117343
499	117104	117104
500	117350	116881
501	117576	116639
502	117795	116389
503	118033	116159
504	118267	115925
505	118487	115677
506	118688	115410
507	118884	115140
508	119120	114908
509	119355	114674
510	119563	114415
511	119761	114147
512	119980	113899
513	120199	113651
514	120455	113438
515	120694	113209
516	120950	112996
517	121200	112777
518	121437	112545
519	121672	112313
520	121906	112079
521	122117	111823
522	122340	111580
523	122607	111376
524	122883	111180
525	123224	111042
526	123482	110830
527	123693	110574
528	123918	110332
529	124155	110100
530	124386	109863
531	124660	109663
532	125053	109568
533	125295	109339
534	125523	109099
535	125778	108883
536	126034	108666
537	126315	108471
538	126647	108320
539	126884	108087
540	127114	107847
541	127350	107613
542	127580	107374
543	127867	107183
544	128121	106963
545	128369	106739
546	128604	106504
547	128846	106274
548	129070	106030
549	129309	105798
550	129535	105556
551	129778	105327
552	130011	105090
553	130244	104853
554	130500	104635
555	130757	104418
556	130980	104172
557	131201	103926
558	131437	103692
559	131682	103465
560	131928	103238
561	132137	102982
562	132345	102726
563	132571	102484
564	132813	102254
565	133078	102042
566	133410	101881
567	133657	101654
568	133907	101430
569	134145	101197
570	134372	100955
571	134604	100717
572	134863	100500
573	135103	100268
574	135327	100024
575	135544	99776
576	135766	99530
577	136030	99316
578	136325	99124
579	136642	98948
580	136943	98759
581	137255	98579
582	137496	98346
583	137742	98117
584	137993	97892
585	138211	97644
586	138442	97405
587	138643	97144
588	138872	96904
589	139113	96671
590	139339	96429
591	139556	96180
592	139773	95932
593	140002	95692
594	140209	95437
595	140470	95218
596	140721	94992
597	140981	94773
598	141224	94542
599	141456	94304
600	141707	94078
601	141937	93839
602	142155	93591
603	142368	93340
604	142586	93093
605	142811	92850
606	143041	92611
607	143273	92373
608	143520	92145
609	143738	91898
610	143978	91665
611	144221	91434
612	144457	91199
613	144694	90964
614	144966	90751
615	145200	90514
616	145423	90270
617	145672	90043
618	145917	89813
619	146181	89594
620	146457	89384
621	146748	89181
622	147110	89021
623	147460	88854
624	147742	88645
625	148033	88441
626	148364	88261
627	148683	88073
628	149097	87941
629	149362	87721
630	149617	87494
631	149982	87331
632	150350	87169
633	150658	86973
634	150928	86754
635	151216	86545
636	151603	86392
637	151991	86239
638	152357	86073
639	152709	85899
640	153017	85699
641	153313	85492
642	153572	85265
643	153870	85058
644	154178	84858
645	154469	84647
646	154794	84455
647	155104	84254
648	155435	84064
649	155787	83885
650	156166	83720
651	156503	83532
652	156933	83393
653	157293	83216
654	157667	83046
655	158092	82902
656	158490	82743
657	158808	82541
658	159140	82347
659	159489	82161
660	159771	81940
661	160086	81735
662	160408	81534
663	160857	81397
664	161369	81291
665	161819	81152
666	162045	80901
667	162289	80659
668	162508	80404
669	162765	80168
670	162968	79905
671	163235	79674
672	163465	79425
673	163697	79177
674	163943	78935
675	164174	78687
676	164425	78447
677	164637	78190
678	164862	77939
679	165150	77717
680	165416	77485
681	165618	77223
682	165834	76968
683	166026	76702
684	166203	76429
685	166384	76158
686	166583	75896
687	166754	75621
688	166942	75354
689	167142	75093
690	167364	74841
691	167594	74593
692	167855	74360
693	168118	74127
694	168427	73914
695	168713	73690
696	168964	73452
697	169200	73207
698	169382	72938
699	169576	72675
700	169797	72424
701	170034	72179
702	170321	71956
703	170569	71716
704	170858	71494
705	171232	71306
706	171452	71054
707	171686	70808
708	171983	70588
709	172263	70361
710	172535	70130
711	172777	69887
712	173046	69655
713	173251	69397
714	173497	69156
715	173782	68930
716	174044	68695
717	174289	68453
718	174595	68235
719	174882	68009
720	175149	67776
721	175392	67533
722	175656	67298
723	175948	67074
724	176218	66841
725	176442	66591
726	176640	66331
727	176838	66071
728	177046	65815
729	177241	65555
730	177409	65284
731	177596	65021
732	177776	64756
733	177952	64489
734	178129	64223
735	178319	63962
736	178512	63702
737	178700	63441
738	178896	63182
739	179076	62918
740	179256	62654
741	179430	62389
742	179616	62128
743	179798	61866
744	180009	61613
745	180204	61356
746	180372	61090
747	180553	60828
748	180729	60564
749	180915	60305
750	181134	60056
751	181334	59801
752	181527	59544
753	181716	59286
754	181888	59023
755	182063	58761
756	182253	58503
757	182457	58251
758	182659	57998
759	182865	57746
760	183068	57494
761	183248	57235
762	183436	56978
763	183615	56718
764	183798	56460
765	183979	56202
766	184169	55947
767	184372	55695
768	184558	55439
769	184782	55194
770	184988	54944
771	185163	54685
772	185352	54430
773	185539	54175
774	185726	53920
775	185920	53667
776	186114	53415
777	186295	53158
778	186485	52905
779	186696	52657
780	186898	52408
781	187093	52156
782	187292	51906
783	187499	51657
784	187724	51414
785	187983	51181
786	188285	50959
787	188596	50739
788	188854	50504
789	189039	50251
790	189217	49995
791	189402	49741
792	189626	49498
793	189828	49250
794	190046	49005
795	190246	48756
796	190461	48511
797	190672	48265
798	190959	48038
799	191266	47816
800	191575	47594
801	191855	47365
802	192044	47114
803	192232	46862
804	192416	46610
805	192611	46360
806	192800	46109
807	192974	45855
808	193153	45602
809	193352	45354
810	193544	45104
811	193729	44853
812	193931	44606
813	194132	44359
814	194324	44110
815	194503	43858
816	194680	43606
817	194880	43359
818	195071	43110
819	195253	42860
820	195432	42609
821	195681	42373
822	195888	42129
823	196085	41882
824	196268	41632
825	196459	41384
826	196630	41133
827	196823	40886
828	197024	40640
829	197231	40396
830	197409	40146
831	197580	39896
832	197776	39650
833	197978	39405
834	198167	39158
835	198362	38913
836	198554	38667
837	198739	38419
838	198912	38170
839	199094	37922
840	199286	37677
841	199461	37428
842	199639	37180
843	199815	36932
844	200008	36688
845	200193	36441
846	200368	36194
847	200553	35948
848	200747	35704
849	200936	35459
850	201144	35218
851	201349	34976
852	201537	34731
853	201721	34486
854	201912	34242
855	202118	34001
856	202323	33760
857	202519	33517
858	202700	33272
859	202883	33027
860	203059	32781
861	203262	32540
862	203436	32295
863	203627	32052
864	203815	31809
865	204003	31566
866	204205	31325
867	204390	31082
868	204572	30838
869	204755	30595
870	204954	30354
871	205139	30112
872	205334	29871
873	205516	29628
874	205692	29384
875	205878	29142
876	206050	28898
877	206242	28657
878	206430	28416
879	206619	28175
880	206804	27933
881	207001	27694
882	207182	27452
883	207368	27211
884	207569	26972
885	207769	26733
886	207957	26492
887	208142	26252
888	208339	26013
889	208520	25772
890	208709	25532
891	208886	25291
892	209079	25052
893	209267	24812
894	209454	24572
895	209625	24331
896	209812	24092
897	209995	23852
898	210166	23611
899	210335	23370
900	210526	23132
901	210705	22892
902	210906	22655
903	211083	22415
904	211294	22180
905	211482	21941
906	211661	21702
907	211847	21464
908	212030	21226
909	212215	20988
910	212380	20748
911	212586	20512
912	212773	20275
913	212956	20037
914	213135	19799
915	213306	19560
916	213492	19323
917	213662	19085
918	213856	18849
919	214041	18612
920	214228	18375
921	214422	18139
922	214614	17903
923	214794	17667
924	214985	17431
925	215172	17195
926	215355	16958
927	215548	16723
928	215744	16488
929	215921	16252
930	216105	16016
931	216292	15780
932	216465	15544
933	216655	15309
934	216835	15074
935	217024	14839
936	217205	14604
937	217388	14368
938	217561	14133
939	217733	13897
940	217933	13664
941	218119	13429
942	218303	13195
943	218518	12962
944	218707	12728
945	218966	12499
946	219244	12270
947	219508	12040
948	219702	11806
949	219883	11572
950	220090	11340
951	220277	11106
952	220473	10873
953	220675	10640
954	220964	10411
955	221221	10181
956	221420	9948
957	221617	9715
958	221810	9483
959	222002	9250
960	222187	9016
961	222375	8784
962	222563	8551
963	222770	8319
964	222962	8086
965	223147	7854
966	223333	7621
967	223521	7389
968	223706	7156
969	223891	6924
970	224076	6692
971	224262	6460
972	224443	6228
973	224623	5996
974	224803	5764
975	224980	5532
976	225164	5300
977	225346	5069
978	225549	4838
979	225721	4606
980	225894	4375
981	226074	4143
982	226270	3913
983	226450	3682
984	226654	3451
985	226864	3221
986	227064	2990
987	227293	2760
988	227563	2531
989	227795	2300
990	228056	2071
991	228259	1840
992	228525	1610
993	228747	1380
994	228969	1150
995	229173	920
996	229367	690
997	229561	460
998	229757	229
999	229968	0
